movie_title,actor_1_name,genres,num_voted_users
Anchorman: The Legend of Ron Burgundy ,Darcy Donavan,Comedy,267921
The Final Destination ,Krista Allen,Horror,75345
Treachery ,Matthew Ziff,Drama|Thriller,344
Hardflip ,Matthew Ziff,Action|Drama,606
Kickboxer: Vengeance ,Matthew Ziff,Action,246
Feast ,Krista Allen,Action|Comedy|Horror|Thriller,25542
Quarantine ,Andrew Fiscella,Horror|Sci-Fi|Thriller,57446
Armored ,Andrew Fiscella,Action|Crime|Thriller,26236
The Amityville Horror ,Jimmy Bennett,Drama|Horror|Mystery|Thriller,80903
Evan Almighty ,Jimmy Bennett,Comedy|Family|Fantasy,115099
The Dark Knight Rises ,Tom Hardy,Action|Thriller,1144337
Hostage ,Jimmy Bennett,Action|Crime|Drama|Mystery|Thriller,93790
Firewall ,Jimmy Bennett,Crime|Thriller,50170
Poseidon ,Jimmy Bennett,Action|Adventure|Drama|Thriller,82380
Avengers: Age of Ultron ,Chris Hemsworth,Action|Adventure|Sci-Fi,462669
X-Men: Days of Future Past ,Jennifer Lawrence,Action|Adventure|Fantasy|Sci-Fi|Thriller,514125
Trucker ,Jimmy Bennett,Drama,2792
Orphan ,Jimmy Bennett,Horror|Mystery|Thriller,141663
Shorts ,Jimmy Bennett,Comedy|Family|Fantasy,5332
The Avengers ,Chris Hemsworth,Action|Adventure|Sci-Fi,995415
The Avengers ,Chris Hemsworth,Action|Adventure|Sci-Fi,995415
American Hustle ,Jennifer Lawrence,Crime|Drama,358416
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,Adventure|Sci-Fi|Thriller,305008
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,Adventure|Sci-Fi,166137
Inception ,Leonardo DiCaprio,Action|Adventure|Sci-Fi|Thriller,1468200
Dark Shadows ,Johnny Depp,Comedy|Fantasy|Horror,199039
Alice Through the Looking Glass ,Johnny Depp,Adventure|Family|Fantasy,21352
Alice in Wonderland ,Johnny Depp,Adventure|Family|Fantasy,306336
Alice in Wonderland ,Johnny Depp,Adventure|Family|Fantasy,306320
Furious 7,Jason Statham,Action|Crime|Thriller,278232
The Other Boleyn Girl ,Natalie Portman,Biography|Drama|History|Romance,84357
The Grace Card ,Michael Joiner,Drama,2099
Joy ,Jennifer Lawrence,Biography|Comedy|Drama,75329
Patch Adams ,Robin Williams,Biography|Comedy|Drama|Romance,80580
The Big Wedding ,Robin Williams,Comedy,37493
Oz the Great and Powerful ,Tim Holmes,Adventure|Family|Fantasy,175413
Oz the Great and Powerful ,Tim Holmes,Adventure|Family|Fantasy,175409
Snow White and the Huntsman ,Chris Hemsworth,Action|Adventure|Drama|Fantasy,228554
Silver Linings Playbook ,Jennifer Lawrence,Comedy|Drama|Romance,533607
What Just Happened ,Robert De Niro,Comedy|Drama,23767
Happy Feet ,Robin Williams,Animation|Comedy|Family|Music|Romance,132501
What's Eating Gilbert Grape ,Johnny Depp,Drama|Romance,171882
Captain America: Civil War ,Robert Downey Jr.,Action|Adventure|Sci-Fi,272670
Public Enemies ,Johnny Depp,Biography|Crime|Drama|History|Romance,230931
Hook ,Robin Williams,Adventure|Comedy|Family|Fantasy,182802
The Twilight Saga: New Moon ,Robert Pattinson,Adventure|Drama|Fantasy|Romance,220758
The Prestige ,Christian Bale,Drama|Mystery|Sci-Fi|Thriller,844052
Black Mass ,Johnny Depp,Biography|Crime|Drama,115216
Good Will Hunting ,Robin Williams,Drama,604904
Marvin's Room ,Leonardo DiCaprio,Drama,20163